"schema_name","table_name","index_name","index_definition"
"archive","barcode_scan_events","barcode_scan_events_pkey","CREATE UNIQUE INDEX barcode_scan_events_pkey ON archive.barcode_scan_events USING btree (id)"
"archive","barcode_scan_events","idx_archive_scan_events_action_type","CREATE INDEX idx_archive_scan_events_action_type ON archive.barcode_scan_events USING btree (action_type)"
"archive","barcode_scan_events","idx_archive_scan_events_archived_at","CREATE INDEX idx_archive_scan_events_archived_at ON archive.barcode_scan_events USING btree (archived_at)"
"archive","barcode_scan_events","idx_archive_scan_events_batch_id","CREATE INDEX idx_archive_scan_events_batch_id ON archive.barcode_scan_events USING btree (batch_id)"
"archive","barcode_scan_events","idx_archive_scan_events_scanned_at","CREATE INDEX idx_archive_scan_events_scanned_at ON archive.barcode_scan_events USING btree (scanned_at)"
"archive","batches","batches_pkey","CREATE UNIQUE INDEX batches_pkey ON archive.batches USING btree (id)"
"archive","batches","idx_archive_batches_archived_at","CREATE INDEX idx_archive_batches_archived_at ON archive.batches USING btree (archived_at)"
"archive","batches","idx_archive_batches_barcode","CREATE INDEX idx_archive_batches_barcode ON archive.batches USING btree (barcode)"
"archive","batches","idx_archive_batches_batch_id","CREATE INDEX idx_archive_batches_batch_id ON archive.batches USING btree (batch_id)"
"archive","batches","idx_archive_batches_color_size","CREATE INDEX idx_archive_batches_color_size ON archive.batches USING btree (color_id, size_id)"
"archive","batches","idx_archive_batches_job_order_id","CREATE INDEX idx_archive_batches_job_order_id ON archive.batches USING btree (job_order_id)"
"archive","job_order_items","idx_archive_job_order_items_archived_at","CREATE INDEX idx_archive_job_order_items_archived_at ON archive.job_order_items USING btree (archived_at)"
"archive","job_order_items","idx_archive_job_order_items_color_size","CREATE INDEX idx_archive_job_order_items_color_size ON archive.job_order_items USING btree (color_id, size_id)"
"archive","job_order_items","idx_archive_job_order_items_item_id","CREATE INDEX idx_archive_job_order_items_item_id ON archive.job_order_items USING btree (item_id)"
"archive","job_order_items","idx_archive_job_order_items_job_order_id","CREATE INDEX idx_archive_job_order_items_job_order_id ON archive.job_order_items USING btree (job_order_id)"
"archive","job_order_items","job_order_items_pkey","CREATE UNIQUE INDEX job_order_items_pkey ON archive.job_order_items USING btree (id)"
"archive","job_order_items_summary","idx_archive_job_order_items_summary_archived_at","CREATE INDEX idx_archive_job_order_items_summary_archived_at ON archive.job_order_items_summary USING btree (archived_at)"
"archive","job_order_items_summary","idx_archive_job_order_items_summary_color_size","CREATE INDEX idx_archive_job_order_items_summary_color_size ON archive.job_order_items_summary USING btree (color_id, size_id)"
"archive","job_order_items_summary","idx_archive_job_order_items_summary_job_order_id","CREATE INDEX idx_archive_job_order_items_summary_job_order_id ON archive.job_order_items_summary USING btree (job_order_id)"
"archive","job_order_items_summary","job_order_items_summary_pkey","CREATE UNIQUE INDEX job_order_items_summary_pkey ON archive.job_order_items_summary USING btree (item_id)"
"archive","job_order_materials","idx_archive_job_order_materials_archived_at","CREATE INDEX idx_archive_job_order_materials_archived_at ON archive.job_order_materials USING btree (archived_at)"
"archive","job_order_materials","idx_archive_job_order_materials_job_order_id","CREATE INDEX idx_archive_job_order_materials_job_order_id ON archive.job_order_materials USING btree (job_order_id)"
"archive","job_order_materials","idx_archive_job_order_materials_material_id","CREATE INDEX idx_archive_job_order_materials_material_id ON archive.job_order_materials USING btree (material_id)"
"archive","job_order_materials","job_order_materials_pkey","CREATE UNIQUE INDEX job_order_materials_pkey ON archive.job_order_materials USING btree (id)"
"archive","job_order_prints","idx_archive_job_order_prints_archived_at","CREATE INDEX idx_archive_job_order_prints_archived_at ON archive.job_order_prints USING btree (archived_at)"
"archive","job_order_prints","job_order_prints_pkey","CREATE UNIQUE INDEX job_order_prints_pkey ON archive.job_order_prints USING btree (job_order_id)"
"archive","job_orders","idx_archive_job_orders_archived_at","CREATE INDEX idx_archive_job_orders_archived_at ON archive.job_orders USING btree (archived_at)"
"archive","job_orders","idx_archive_job_orders_client_id","CREATE INDEX idx_archive_job_orders_client_id ON archive.job_orders USING btree (client_id)"
"archive","job_orders","idx_archive_job_orders_job_order_id","CREATE INDEX idx_archive_job_orders_job_order_id ON archive.job_orders USING btree (job_order_id)"
"archive","job_orders","idx_archive_job_orders_model_id","CREATE INDEX idx_archive_job_orders_model_id ON archive.job_orders USING btree (model_id)"
"archive","job_orders","idx_archive_job_orders_order_number","CREATE INDEX idx_archive_job_orders_order_number ON archive.job_orders USING btree (order_number)"
"archive","job_orders","job_orders_pkey","CREATE UNIQUE INDEX job_orders_pkey ON archive.job_orders USING btree (id)"
"archive","job_orders_summary","idx_archive_job_orders_summary_archived_at","CREATE INDEX idx_archive_job_orders_summary_archived_at ON archive.job_orders_summary USING btree (archived_at)"
"archive","job_orders_summary","job_orders_summary_pkey","CREATE UNIQUE INDEX job_orders_summary_pkey ON archive.job_orders_summary USING btree (job_order_id)"
"core","clients","clients_name_key","CREATE UNIQUE INDEX clients_name_key ON core.clients USING btree (name)"
"core","clients","clients_pkey","CREATE UNIQUE INDEX clients_pkey ON core.clients USING btree (id)"
"core","colors","colors_name_key","CREATE UNIQUE INDEX colors_name_key ON core.colors USING btree (name)"
"core","colors","colors_pkey","CREATE UNIQUE INDEX colors_pkey ON core.colors USING btree (id)"
"core","job_order_items","idx_job_order_items_color_size","CREATE INDEX idx_job_order_items_color_size ON core.job_order_items USING btree (color_id, size_id)"
"core","job_order_items","job_order_color_size_unique","CREATE UNIQUE INDEX job_order_color_size_unique ON core.job_order_items USING btree (job_order_id, color_id, size_id)"
"core","job_order_items","job_order_items_pkey","CREATE UNIQUE INDEX job_order_items_pkey ON core.job_order_items USING btree (id)"
"core","job_order_materials","idx_job_order_materials_color","CREATE INDEX idx_job_order_materials_color ON core.job_order_materials USING btree (color_id)"
"core","job_order_materials","idx_job_order_materials_job_order","CREATE INDEX idx_job_order_materials_job_order ON core.job_order_materials USING btree (job_order_id)"
"core","job_order_materials","idx_job_order_materials_material","CREATE INDEX idx_job_order_materials_material ON core.job_order_materials USING btree (material_id)"
"core","job_order_materials","job_order_materials_job_order_id_material_id_color_id_key","CREATE UNIQUE INDEX job_order_materials_job_order_id_material_id_color_id_key ON core.job_order_materials USING btree (job_order_id, material_id, color_id)"
"core","job_order_materials","job_order_materials_pkey","CREATE UNIQUE INDEX job_order_materials_pkey ON core.job_order_materials USING btree (id)"
"core","job_orders","idx_job_orders_image_url","CREATE INDEX idx_job_orders_image_url ON core.job_orders USING btree (image_url) WHERE (image_url IS NOT NULL)"
"core","job_orders","idx_job_orders_model_id","CREATE INDEX idx_job_orders_model_id ON core.job_orders USING btree (model_id)"
"core","job_orders","idx_job_orders_notes_gin","CREATE INDEX idx_job_orders_notes_gin ON core.job_orders USING gin (to_tsvector('english'::regconfig, notes)) WHERE ((notes IS NOT NULL) AND (notes <> ''::text))"
"core","job_orders","idx_job_orders_print_config_gin","CREATE INDEX idx_job_orders_print_config_gin ON core.job_orders USING gin (print_config)"
"core","job_orders","job_orders_order_number_key","CREATE UNIQUE INDEX job_orders_order_number_key ON core.job_orders USING btree (order_number)"
"core","job_orders","job_orders_pkey","CREATE UNIQUE INDEX job_orders_pkey ON core.job_orders USING btree (id)"
"core","materials","idx_materials_name_trgm","CREATE INDEX idx_materials_name_trgm ON core.materials USING gin (name gin_trgm_ops)"
"core","materials","materials_name_key","CREATE UNIQUE INDEX materials_name_key ON core.materials USING btree (name)"
"core","materials","materials_pkey","CREATE UNIQUE INDEX materials_pkey ON core.materials USING btree (id)"
"core","models","models_name_key","CREATE UNIQUE INDEX models_name_key ON core.models USING btree (name)"
"core","models","models_pkey","CREATE UNIQUE INDEX models_pkey ON core.models USING btree (id)"
"core","sizes","sizes_pkey","CREATE UNIQUE INDEX sizes_pkey ON core.sizes USING btree (id)"
"core","sizes","sizes_value_key","CREATE UNIQUE INDEX sizes_value_key ON core.sizes USING btree (value)"
"core","systems","systems_name_key","CREATE UNIQUE INDEX systems_name_key ON core.systems USING btree (name)"
"core","systems","systems_pkey","CREATE UNIQUE INDEX systems_pkey ON core.systems USING btree (id)"
"core","user_roles","user_roles_pkey","CREATE UNIQUE INDEX user_roles_pkey ON core.user_roles USING btree (id)"
"core","user_roles","user_roles_user_id_system_id_key","CREATE UNIQUE INDEX user_roles_user_id_system_id_key ON core.user_roles USING btree (user_id, system_id)"
"core","users","users_pkey","CREATE UNIQUE INDEX users_pkey ON core.users USING btree (id)"
"core","users","users_username_key","CREATE UNIQUE INDEX users_username_key ON core.users USING btree (username)"
"ops","barcode_scan_events","barcode_scan_events_pkey","CREATE UNIQUE INDEX barcode_scan_events_pkey ON ops.barcode_scan_events USING btree (id)"
"ops","barcode_scan_events","idx_scan_events_action","CREATE INDEX idx_scan_events_action ON ops.barcode_scan_events USING btree (action_type)"
"ops","barcode_scan_events","idx_scan_events_batch","CREATE INDEX idx_scan_events_batch ON ops.barcode_scan_events USING btree (batch_id)"
"ops","barcode_scan_events","idx_scan_events_batch_action","CREATE INDEX idx_scan_events_batch_action ON ops.barcode_scan_events USING btree (batch_id, action_type, scanned_at)"
"ops","barcode_scan_events","idx_scan_events_phase_time","CREATE INDEX idx_scan_events_phase_time ON ops.barcode_scan_events USING btree (phase_id, scanned_at)"
"ops","barcode_scan_events","idx_scan_events_scanned_at","CREATE INDEX idx_scan_events_scanned_at ON ops.barcode_scan_events USING btree (scanned_at)"
"ops","barcode_scan_events","idx_scan_events_user_time","CREATE INDEX idx_scan_events_user_time ON ops.barcode_scan_events USING btree (user_id, scanned_at)"
"ops","batches","batches_barcode_key","CREATE UNIQUE INDEX batches_barcode_key ON ops.batches USING btree (barcode)"
"ops","batches","batches_pkey","CREATE UNIQUE INDEX batches_pkey ON ops.batches USING btree (id)"
"ops","batches","idx_batches_barcode","CREATE INDEX idx_batches_barcode ON ops.batches USING btree (barcode)"
"ops","batches","idx_batches_barcode_trgm","CREATE INDEX idx_batches_barcode_trgm ON ops.batches USING gin (barcode gin_trgm_ops)"
"ops","batches","idx_batches_color_size","CREATE INDEX idx_batches_color_size ON ops.batches USING btree (color_id, size_id)"
"ops","batches","idx_batches_job_order","CREATE INDEX idx_batches_job_order ON ops.batches USING btree (job_order_id)"
"ops","batches","idx_batches_status_phase","CREATE INDEX idx_batches_status_phase ON ops.batches USING btree (status, current_phase)"
"ops","batches","idx_batches_updated_at","CREATE INDEX idx_batches_updated_at ON ops.batches USING btree (last_updated)"
"ops","production_phases","production_phases_name_key","CREATE UNIQUE INDEX production_phases_name_key ON ops.production_phases USING btree (name)"
"ops","production_phases","production_phases_pkey","CREATE UNIQUE INDEX production_phases_pkey ON ops.production_phases USING btree (id)"
"pg_catalog","pg_aggregate","pg_aggregate_fnoid_index","CREATE UNIQUE INDEX pg_aggregate_fnoid_index ON pg_catalog.pg_aggregate USING btree (aggfnoid)"
"pg_catalog","pg_am","pg_am_name_index","CREATE UNIQUE INDEX pg_am_name_index ON pg_catalog.pg_am USING btree (amname)"
"pg_catalog","pg_am","pg_am_oid_index","CREATE UNIQUE INDEX pg_am_oid_index ON pg_catalog.pg_am USING btree (oid)"
"pg_catalog","pg_amop","pg_amop_fam_strat_index","CREATE UNIQUE INDEX pg_amop_fam_strat_index ON pg_catalog.pg_amop USING btree (amopfamily, amoplefttype, amoprighttype, amopstrategy)"
"pg_catalog","pg_amop","pg_amop_oid_index","CREATE UNIQUE INDEX pg_amop_oid_index ON pg_catalog.pg_amop USING btree (oid)"
"pg_catalog","pg_amop","pg_amop_opr_fam_index","CREATE UNIQUE INDEX pg_amop_opr_fam_index ON pg_catalog.pg_amop USING btree (amopopr, amoppurpose, amopfamily)"
"pg_catalog","pg_amproc","pg_amproc_fam_proc_index","CREATE UNIQUE INDEX pg_amproc_fam_proc_index ON pg_catalog.pg_amproc USING btree (amprocfamily, amproclefttype, amprocrighttype, amprocnum)"
"pg_catalog","pg_amproc","pg_amproc_oid_index","CREATE UNIQUE INDEX pg_amproc_oid_index ON pg_catalog.pg_amproc USING btree (oid)"
"pg_catalog","pg_attrdef","pg_attrdef_adrelid_adnum_index","CREATE UNIQUE INDEX pg_attrdef_adrelid_adnum_index ON pg_catalog.pg_attrdef USING btree (adrelid, adnum)"
"pg_catalog","pg_attrdef","pg_attrdef_oid_index","CREATE UNIQUE INDEX pg_attrdef_oid_index ON pg_catalog.pg_attrdef USING btree (oid)"
"pg_catalog","pg_attribute","pg_attribute_relid_attnam_index","CREATE UNIQUE INDEX pg_attribute_relid_attnam_index ON pg_catalog.pg_attribute USING btree (attrelid, attname)"
"pg_catalog","pg_attribute","pg_attribute_relid_attnum_index","CREATE UNIQUE INDEX pg_attribute_relid_attnum_index ON pg_catalog.pg_attribute USING btree (attrelid, attnum)"
"pg_catalog","pg_auth_members","pg_auth_members_grantor_index","CREATE INDEX pg_auth_members_grantor_index ON pg_catalog.pg_auth_members USING btree (grantor)"
"pg_catalog","pg_auth_members","pg_auth_members_member_role_index","CREATE UNIQUE INDEX pg_auth_members_member_role_index ON pg_catalog.pg_auth_members USING btree (member, roleid, grantor)"
"pg_catalog","pg_auth_members","pg_auth_members_oid_index","CREATE UNIQUE INDEX pg_auth_members_oid_index ON pg_catalog.pg_auth_members USING btree (oid)"
"pg_catalog","pg_auth_members","pg_auth_members_role_member_index","CREATE UNIQUE INDEX pg_auth_members_role_member_index ON pg_catalog.pg_auth_members USING btree (roleid, member, grantor)"
"pg_catalog","pg_authid","pg_authid_oid_index","CREATE UNIQUE INDEX pg_authid_oid_index ON pg_catalog.pg_authid USING btree (oid)"
"pg_catalog","pg_authid","pg_authid_rolname_index","CREATE UNIQUE INDEX pg_authid_rolname_index ON pg_catalog.pg_authid USING btree (rolname)"
"pg_catalog","pg_cast","pg_cast_oid_index","CREATE UNIQUE INDEX pg_cast_oid_index ON pg_catalog.pg_cast USING btree (oid)"
"pg_catalog","pg_cast","pg_cast_source_target_index","CREATE UNIQUE INDEX pg_cast_source_target_index ON pg_catalog.pg_cast USING btree (castsource, casttarget)"
"pg_catalog","pg_class","pg_class_oid_index","CREATE UNIQUE INDEX pg_class_oid_index ON pg_catalog.pg_class USING btree (oid)"
"pg_catalog","pg_class","pg_class_relname_nsp_index","CREATE UNIQUE INDEX pg_class_relname_nsp_index ON pg_catalog.pg_class USING btree (relname, relnamespace)"
"pg_catalog","pg_class","pg_class_tblspc_relfilenode_index","CREATE INDEX pg_class_tblspc_relfilenode_index ON pg_catalog.pg_class USING btree (reltablespace, relfilenode)"
"pg_catalog","pg_collation","pg_collation_name_enc_nsp_index","CREATE UNIQUE INDEX pg_collation_name_enc_nsp_index ON pg_catalog.pg_collation USING btree (collname, collencoding, collnamespace)"
"pg_catalog","pg_collation","pg_collation_oid_index","CREATE UNIQUE INDEX pg_collation_oid_index ON pg_catalog.pg_collation USING btree (oid)"
"pg_catalog","pg_constraint","pg_constraint_conname_nsp_index","CREATE INDEX pg_constraint_conname_nsp_index ON pg_catalog.pg_constraint USING btree (conname, connamespace)"
"pg_catalog","pg_constraint","pg_constraint_conparentid_index","CREATE INDEX pg_constraint_conparentid_index ON pg_catalog.pg_constraint USING btree (conparentid)"
"pg_catalog","pg_constraint","pg_constraint_conrelid_contypid_conname_index","CREATE UNIQUE INDEX pg_constraint_conrelid_contypid_conname_index ON pg_catalog.pg_constraint USING btree (conrelid, contypid, conname)"
"pg_catalog","pg_constraint","pg_constraint_contypid_index","CREATE INDEX pg_constraint_contypid_index ON pg_catalog.pg_constraint USING btree (contypid)"
"pg_catalog","pg_constraint","pg_constraint_oid_index","CREATE UNIQUE INDEX pg_constraint_oid_index ON pg_catalog.pg_constraint USING btree (oid)"
"pg_catalog","pg_conversion","pg_conversion_default_index","CREATE UNIQUE INDEX pg_conversion_default_index ON pg_catalog.pg_conversion USING btree (connamespace, conforencoding, contoencoding, oid)"
"pg_catalog","pg_conversion","pg_conversion_name_nsp_index","CREATE UNIQUE INDEX pg_conversion_name_nsp_index ON pg_catalog.pg_conversion USING btree (conname, connamespace)"
"pg_catalog","pg_conversion","pg_conversion_oid_index","CREATE UNIQUE INDEX pg_conversion_oid_index ON pg_catalog.pg_conversion USING btree (oid)"
"pg_catalog","pg_database","pg_database_datname_index","CREATE UNIQUE INDEX pg_database_datname_index ON pg_catalog.pg_database USING btree (datname)"
